station_id,hour,forecast_entrances,method
611,2026-09-17T00:00:00,2214,four_week_mean
611,2026-09-17T01:00:00,802,four_week_mean
611,2026-09-17T02:00:00,386,four_week_mean
611,2026-09-17T03:00:00,261,four_week_mean
611,2026-09-17T04:00:00,348,four_week_mean
611,2026-09-17T05:00:00,2690,four_week_mean
611,2026-09-17T06:00:00,6002,four_week_mean
611,2026-09-17T07:00:00,9305,four_week_mean
611,2026-09-17T08:00:00,11257,four_week_mean
611,2026-09-17T09:00:00,10466,four_week_mean
611,2026-09-17T10:00:00,7294,four_week_mean
611,2026-09-17T11:00:00,5690,four_week_mean
611,2026-09-17T12:00:00,5406,four_week_mean
611,2026-09-17T13:00:00,5622,four_week_mean
611,2026-09-17T14:00:00,6520,four_week_mean
611,2026-09-17T15:00:00,7861,four_week_mean
611,2026-09-17T16:00:00,10447,four_week_mean
611,2026-09-17T17:00:00,15622,four_week_mean
611,2026-09-17T18:00:00,12002,four_week_mean
611,2026-09-17T19:00:00,7358,four_week_mean
611,2026-09-17T20:00:00,5935,four_week_mean
611,2026-09-17T21:00:00,8026,four_week_mean
611,2026-09-17T22:00:00,5835,four_week_mean
611,2026-09-17T23:00:00,3524,four_week_mean
611,2026-09-18T00:00:00,2346,four_week_mean
611,2026-09-18T01:00:00,902,four_week_mean
611,2026-09-18T02:00:00,435,four_week_mean
611,2026-09-18T03:00:00,257,four_week_mean
611,2026-09-18T04:00:00,360,four_week_mean
611,2026-09-18T05:00:00,2473,four_week_mean
611,2026-09-18T06:00:00,5496,four_week_mean
611,2026-09-18T07:00:00,7468,four_week_mean
611,2026-09-18T08:00:00,8642,four_week_mean
611,2026-09-18T09:00:00,7556,four_week_mean
611,2026-09-18T10:00:00,6484,four_week_mean
611,2026-09-18T11:00:00,5803,four_week_mean
611,2026-09-18T12:00:00,5618,four_week_mean
611,2026-09-18T13:00:00,6140,four_week_mean
611,2026-09-18T14:00:00,7146,four_week_mean
611,2026-09-18T15:00:00,8236,four_week_mean
611,2026-09-18T16:00:00,9499,four_week_mean
611,2026-09-18T17:00:00,10794,four_week_mean
611,2026-09-18T18:00:00,9214,four_week_mean
611,2026-09-18T19:00:00,6980,four_week_mean
611,2026-09-18T20:00:00,6154,four_week_mean
611,2026-09-18T21:00:00,7996,four_week_mean
611,2026-09-18T22:00:00,7145,four_week_mean
611,2026-09-18T23:00:00,5256,four_week_mean
611,2026-09-19T00:00:00,3774,four_week_mean
611,2026-09-19T01:00:00,1723,four_week_mean
611,2026-09-19T02:00:00,831,four_week_mean
611,2026-09-19T03:00:00,484,four_week_mean
611,2026-09-19T04:00:00,407,four_week_mean
611,2026-09-19T05:00:00,659,four_week_mean
611,2026-09-19T06:00:00,1514,four_week_mean
611,2026-09-19T07:00:00,2222,four_week_mean
611,2026-09-19T08:00:00,3398,four_week_mean
611,2026-09-19T09:00:00,5192,four_week_mean
611,2026-09-19T10:00:00,6176,four_week_mean
611,2026-09-19T11:00:00,6137,four_week_mean
611,2026-09-19T12:00:00,6154,four_week_mean
611,2026-09-19T13:00:00,5948,four_week_mean
611,2026-09-19T14:00:00,6454,four_week_mean
611,2026-09-19T15:00:00,6876,four_week_mean
611,2026-09-19T16:00:00,8273,four_week_mean
611,2026-09-19T17:00:00,8010,four_week_mean
611,2026-09-19T18:00:00,7586,four_week_mean
611,2026-09-19T19:00:00,6419,four_week_mean
611,2026-09-19T20:00:00,6150,four_week_mean
611,2026-09-19T21:00:00,6325,four_week_mean
611,2026-09-19T22:00:00,7760,four_week_mean
611,2026-09-19T23:00:00,5464,four_week_mean
611,2026-09-20T00:00:00,3392,four_week_mean
611,2026-09-20T01:00:00,1820,four_week_mean
611,2026-09-20T02:00:00,969,four_week_mean
611,2026-09-20T03:00:00,510,four_week_mean
611,2026-09-20T04:00:00,430,four_week_mean
611,2026-09-20T05:00:00,406,four_week_mean
611,2026-09-20T06:00:00,837,four_week_mean
611,2026-09-20T07:00:00,1464,four_week_mean
611,2026-09-20T08:00:00,2636,four_week_mean
611,2026-09-20T09:00:00,4390,four_week_mean
